"País","Departamento","Ciudad o Municipio","Localidad","Departamento con código","Municipio con código","Comment","Comment User","Comment Date","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"Colombia","Antioquia","Carmen De Viboral","Corregimiento Santa Rita","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","79","kz3qz"
"Colombia","Antioquia","Carmen De Viboral","Corregimiento Santa Ines","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","80","dwed9"
"Colombia","Antioquia","Carmen De Viboral","Corregimiento La Madera","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","81","jynqe"
"Colombia","Antioquia","Carmen De Viboral","Corregimiento Aguas Claras","ANTIOQUIA - 1","CARMEN DE VIBORAL - 82","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","82","7spyv"
"Colombia","Antioquia","Carolina","No Aplica","ANTIOQUIA - 1","CAROLINA - 85","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","83","hzclh"
"Colombia","Antioquia","Caucasia","No Aplica","ANTIOQUIA - 1","CAUCASIA - 88","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","84","z5gb4"
"Colombia","Antioquia","Cisneros","No Aplica","ANTIOQUIA - 1","CISNEROS - 91","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","85","5186h"
"Colombia","Antioquia","Cocorna","No Aplica","ANTIOQUIA - 1","COCORNA - 94","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","86","y3dif"
"Colombia","Antioquia","Concepcion","No Aplica","ANTIOQUIA - 1","CONCEPCION - 97","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","87","djrsn"
"Colombia","Antioquia","Concordia","No Aplica","ANTIOQUIA - 1","CONCORDIA - 100","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","88","2tmnf"
"Colombia","Antioquia","Copacabana","No Aplica","ANTIOQUIA - 1","COPACABANA - 103","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","89","k84h1"
"Colombia","Antioquia","Chigorodo","No Aplica","ANTIOQUIA - 1","CHIGORODO - 106","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","90","mficn"
"Colombia","Antioquia","Dabeiba","No Aplica","ANTIOQUIA - 1","DABEIBA - 109","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","91","j63nt"
"Colombia","Antioquia","Don Matias","No Aplica","ANTIOQUIA - 1","DON MATIAS - 112","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","92","27pi7"
"Colombia","Antioquia","Ebejico","Otros","ANTIOQUIA - 1","EBEJICO - 115","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","93","mscu0"
"Colombia","Antioquia","Ebejico","Corregimiento Brasil","ANTIOQUIA - 1","EBEJICO - 115","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","94","fmgsk"
"Colombia","Antioquia","Ebejico","Corregimiento El Zarzal","ANTIOQUIA - 1","EBEJICO - 115","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","95","8mn6x"
